new_id	old_id
N1	N78622
N2	N66856
N3	N15502
N4	N16707
N5	N6811
N6	N43939
N7	N52002
N8	N34081
N9	N32428
N10	N15676
N11	N80088
N12	N25142
N13	N7632
N14	N40099
N15	N451
N16	N18773
N17	N16124
N18	N49977
N19	N15454
N20	N15372
N21	N32327
N22	N57098
N23	N4311
N24	N73561
N25	N49214
N26	N7118
N27	N49022
N28	N783
N29	N44488
N30	N30833
N31	N73410
N32	N18736
N33	N78318
N34	N55970
N35	N6474
N36	N27627
N37	N11504
N38	N5583
N39	N50312
N40	N26407
N41	N14725
N42	N36728
N43	N54486
N44	N2883
N45	N49913
N46	N6698
N47	N3626
N48	N40283
N49	N52463
N50	N69313
N51	N17105
N52	N20623
N53	N75205
N54	N2868
N55	N72013
N56	N81478
N57	N44476
N58	N65612
N59	N53493
N60	N67312
N61	N73371
N62	N53244
N63	N72249
N64	N73988
N65	N30856
N66	N21535
N67	N54738
N68	N54860
N69	N46672
N70	N9292
N71	N55697
N72	N76414
N73	N72641
N74	N71403
N75	N58161
N76	N49104
N77	N10765
N78	N15285
N79	N76746
N80	N67410
N81	N34908
N82	N63078
N83	N39257
N84	N8906
N85	N36330
N86	N26702
N87	N10639
N88	N28880
N89	N64964
N90	N32630
N91	N61500
N92	N18546
N93	N36619
N94	N46232
N95	N50459
N96	N31575
N97	N65163
N98	N26743
N99	N52846
N100	N69020
N101	N62902
N102	N28472
N103	N13577
N104	N22159
N105	N81219
N106	N18344
N107	N51433
N108	N73273
N109	N21018
N110	N75462
N111	N30675
N112	N70753
N113	N47174
N114	N66303
N115	N60458
N116	N3143
N117	N79993
N118	N66410
N119	N35889
N120	N54313
N121	N56551
N122	N79466
N123	N63454
N124	N32168
N125	N79027
N126	N63413
N127	N54372
N128	N16225
N129	N30625
N130	N74850
N131	N5773
N132	N16665
N133	N26845
N134	N71979
N135	N47951
N136	N34439
N137	N35066
N138	N45776
N139	N51881
N140	N5354
N141	N81741
N142	N76857
N143	N12503
N144	N8699
N145	N34820
N146	N44339
N147	N188
N148	N65365
N149	N66336
N150	N45684
N151	N49926
N152	N15070
N153	N39816
N154	N27811
N155	N38373
N156	N14979
N157	N41231
N158	N33506
N159	N73521
N160	N39059
N161	N14299
N162	N3009
N163	N8086
N164	N38366
N165	N66067
N166	N60258
N167	N60894
N168	N17137
N169	N27269
N170	N8303
N171	N72911
N172	N81867
N173	N54649
N174	N70512
N175	N14480
N176	N72085
N177	N73511
N178	N30630
N179	N74294
N180	N23817
N181	N48310
N182	N54924
N183	N32623
N184	N36229
N185	N28904
N186	N27442
N187	N47590
N188	N17252
N189	N33538
N190	N9207
N191	N49799
N192	N51201
N193	N67082
N194	N76724
N195	N79066
N196	N70258
N197	N2127
N198	N30457
N199	N81170
N200	N33215
N201	N3160
N202	N67673
N203	N47782
N204	N65453
N205	N35339
N206	N55894
N207	N15499
N208	N22517
N209	N51139
N210	N2390
N211	N366
N212	N68948
N213	N44647
N214	N43188
N215	N65281
N216	N56581
N217	N24725
N218	N19880
N219	N5
N220	N47708
N221	N54477
N222	N75905
N223	N75642
N224	N77788
N225	N23982
N226	N62328
N227	N72195
N228	N10512
N229	N19765
N230	N7906
N231	N23038
N232	N74712
N233	N7961
N234	N20551
N235	N52295
N236	N14579
N237	N7734
N238	N3835
N239	N9239
N240	N59011
N241	N35429
N242	N12704
N243	N48438
N244	N65590
N245	N31288
N246	N47534
N247	N71902
N248	N31828
N249	N78114
N250	N70267
N251	N30207
N252	N43478
N253	N29931
N254	N55226
N255	N57020
N256	N42972
N257	N59331
N258	N21995
N259	N73779
N260	N14927
N261	N34400
N262	N24193
N263	N24601
N264	N22574
N265	N15049
N266	N35388
N267	N29092
N268	N23594
N269	N28247
N270	N35652
N271	N54003
N272	N44249
N273	N49544
N274	N57696
N275	N48634
N276	N59650
N277	N15201
N278	N54709
N279	N4584
N280	N59969
N281	N29083
N282	N79445
N283	N14846
N284	N22965
N285	N71357
N286	N14279
N287	N29827
N288	N28095
N289	N59513
N290	N36212
N291	N55128
N292	N1111
N293	N61253
N294	N15812
N295	N46331
N296	N18284
N297	N17721
N298	N32033
N299	N26159
N300	N341
N301	N5692
N302	N59957
N303	N31798
N304	N8577
N305	N2118
N306	N77735
N307	N48833
N308	N67297
N309	N17098
N310	N70681
N311	N9201
N312	N13979
N313	N14847
N314	N78589
N315	N3669
N316	N71131
N317	N52131
N318	N4804
N319	N13822
N320	N48921
N321	N3565
N322	N48968
N323	N68962
N324	N79323
N325	N56141
N326	N34463
