new_id	old_id
N1	N37364
N2	N76800
N3	N56009
N4	N39510
N5	N71676
N6	N34915
N7	N799
N8	N50059
N9	N47359
N10	N65480
N11	N10094
N12	N43697
N13	N70216
N14	N39019
N15	N38446
N16	N15776
N17	N42709
N18	N39811
N19	N19504
N20	N33945
N21	N61343
N22	N71661
N23	N61052
N24	N51056
N25	N16711
N26	N2590
N27	N36665
N28	N23816
N29	N55072
N30	N80400
N31	N63193
N32	N44863
N33	N42044
N34	N16194
N35	N14483
N36	N37623
N37	N70774
N38	N36287
N39	N45911
N40	N38882
N41	N70769
N42	N70984
N43	N34687
N44	N40061
N45	N27968
N46	N60785
N47	N69515
N48	N51217
N49	N21966
N50	N7497
N51	N81784
N52	N26985
N53	N61398
N54	N64579
N55	N21831
N56	N36942
N57	N34690
N58	N75499
N59	N1667
N60	N2726
N61	N54961
N62	N56401
N63	N66969
N64	N16928
N65	N75782
N66	N54517
N67	N38166
N68	N8624
N69	N51542
N70	N71624
N71	N67929
N72	N27154
N73	N82004
N74	N36175
N75	N38670
N76	N68787
N77	N64147
N78	N21451
N79	N44077
N80	N13337
N81	N66281
N82	N78405
N83	N32742
N84	N74226
N85	N75686
N86	N75505
N87	N49186
N88	N45589
N89	N78041
N90	N61187
N91	N26220
N92	N34052
N93	N14151
N94	N22950
N95	N39498
N96	N48502
N97	N61185
N98	N69605
N99	N67531
N100	N61811
N101	N35565
N102	N1978
N103	N9485
N104	N44425
N105	N9341
N106	N22442
N107	N1573
N108	N8245
N109	N29040
N110	N60571
N111	N19749
N112	N9622
N113	N39619
N114	N7224
N115	N70027
N116	N35083
N117	N37550
N118	N23835
N119	N2416
N120	N71986
N121	N12435
N122	N23780
N123	N64746
N124	N44843
N125	N55034
N126	N13594
N127	N32684
N128	N4112
N129	N62535
N130	N13694
N131	N78425
N132	N60240
N133	N378
N134	N7197
N135	N12297
N136	N73369
N137	N15037
N138	N13493
N139	N2299
N140	N13131
N141	N10681
N142	N11303
N143	N81388
N144	N28719
N145	N69373
N146	N13842
N147	N38078
N148	N73268
N149	N36715
N150	N48220
N151	N41961
N152	N79777
N153	N12746
N154	N28003
N155	N30592
N156	N31562
N157	N50885
N158	N7417
N159	N52619
N160	N21921
N161	N7820
N162	N54495
N163	N42707
N164	N64648
N165	N79034
N166	N8767
N167	N23850
N168	N18898
N169	N12100
N170	N45425
N171	N50616
N172	N9765
N173	N47630
N174	N42568
N175	N37462
N176	N22288
N177	N74858
N178	N72369
N179	N20884
N180	N49470
N181	N40039
N182	N15202
N183	N60760
N184	N55919
N185	N25858
N186	N15234
N187	N4060
N188	N78793
N189	N71899
N190	N23665
N191	N78011
N192	N17426
N193	N34195
N194	N79337
N195	N13115
N196	N4139
N197	N70588
N198	N66042
N199	N37706
N200	N81745
N201	N30331
N202	N55125
N203	N52458
N204	N38299
N205	N52455
N206	N11022
N207	N1281
N208	N1464
N209	N21313
N210	N31778
N211	N27360
N212	N59223
N213	N45250
N214	N77716
